Date,Open,High,Low,Close,Adj Close,Volume
2009-12-04,112.230003,112.730003,110.389999,111.360001,88.532120,5508600
2009-12-07,111.290001,112.650002,110.849998,111.190002,88.396957,2329300
2009-12-08,110.440002,110.599998,109.449997,110.019997,87.466827,2816500
2009-12-09,109.930000,110.529999,109.370003,110.349998,87.729179,5393400
2009-12-10,111.059998,111.480003,110.830002,111.000000,88.245934,4291600
2009-12-11,111.470001,111.730003,110.980003,111.470001,88.619576,4259400
2009-12-14,112.250000,112.360001,111.730003,112.230003,89.223793,3201000
2009-12-15,111.849998,112.290001,111.370003,111.690002,88.794502,2537100
2009-12-16,112.180000,112.489998,111.650002,111.900002,88.961479,2842400
2009-12-17,111.080002,111.269997,110.440002,110.480003,87.832512,7247700
2009-12-18,111.139999,111.250000,110.220001,111.180000,88.389030,4320400
2009-12-21,111.699997,112.650002,111.690002,112.209999,89.207901,2675400
2009-12-22,112.519997,113.000000,112.379997,112.650002,89.557678,2204700
2009-12-23,113.029999,113.059998,112.470001,112.930000,89.780296,5763500
2009-12-24,112.599998,112.980003,112.550003,112.930000,90.258240,705800
2009-12-28,113.279999,113.339996,112.680000,113.129997,90.418098,2157000
2009-12-29,113.430000,113.430000,112.919998,112.980003,90.298210,1766900
2009-12-30,112.610001,113.000000,112.529999,112.889999,90.226265,2501300
2009-12-31,113.099998,113.139999,111.610001,111.809998,89.363083,3000900
2010-01-04,112.769997,113.739998,112.709999,113.650002,90.833710,3574200
2010-01-05,113.620003,114.029999,113.250000,113.980003,91.097466,2784100
2010-01-06,113.889999,114.339996,113.790001,114.070000,91.169380,3912800
2010-01-07,113.870003,114.669998,113.550003,114.570000,91.568993,2977600
2010-01-08,114.230003,114.970001,114.010002,114.959999,91.880699,2887600
2010-01-11,115.400002,115.489998,114.589996,115.120003,92.008591,3100500
2010-01-12,114.320000,114.570000,113.580002,114.059998,91.161369,3453900
2010-01-13,114.330002,115.300003,113.720001,114.959999,91.880699,5017700
2010-01-14,114.919998,115.480003,114.370003,115.300003,92.152451,2608000
2010-01-15,114.989998,115.199997,113.559998,114.000000,91.113426,5227700
2010-01-19,114.000000,115.489998,113.949997,115.410004,92.240379,3430200
2010-01-20,114.629997,114.660004,113.339996,114.269997,91.329216,7105900
2010-01-21,114.290001,114.620003,111.900002,112.029999,89.538933,9015900
2010-01-22,111.580002,111.980003,109.459999,109.610001,87.604744,7485100
2010-01-25,110.570000,110.760002,109.779999,110.160004,88.044357,3414600
2010-01-26,109.690002,110.809998,109.389999,109.639999,87.628731,4491300
2010-01-27,109.519997,110.419998,108.680000,110.199997,88.076309,5420100
2010-01-28,110.550003,110.580002,108.250000,108.879997,87.021301,5434800
2010-01-29,109.379997,110.120003,107.559998,107.660004,86.046211,5678400
2010-02-01,108.550003,109.400002,108.419998,109.360001,87.404953,3406900
2010-02-02,109.620003,110.940002,109.230003,110.730003,88.499901,3188400
2010-02-03,110.239998,110.779999,109.879997,110.169998,88.052338,5049100
2010-02-04,109.320000,109.360001,106.769997,106.800003,85.358887,5599700
2010-02-05,106.910004,107.220001,104.900002,107.029999,85.542709,7381300
2010-02-08,107.070000,107.650002,106.120003,106.199997,84.879364,3265000
2010-02-09,107.489998,108.480003,106.610001,107.580002,85.982330,4977200
2010-02-10,107.370003,107.949997,106.459999,107.330002,85.782501,2837400
2010-02-11,107.230003,108.589996,106.599998,108.430000,86.661667,3114300
2010-02-12,107.300003,108.400002,106.860001,108.389999,86.629707,5902800
2010-02-16,109.250000,110.209999,108.790001,110.099998,87.996376,2998700
2010-02-17,110.610001,110.760002,110.099998,110.589996,88.388016,3729000
2010-02-18,110.430000,111.500000,110.400002,111.290001,88.947479,4156900
2010-02-19,110.959999,111.940002,110.730003,111.519997,89.131325,5073400
2010-02-22,111.889999,112.019997,111.199997,111.529999,89.139320,3043500
2010-02-23,111.209999,111.570000,109.879997,110.129997,88.020363,4136200
2010-02-24,110.510002,111.360001,110.220001,111.139999,88.827591,3771400
2010-02-25,109.570000,111.089996,109.300003,111.050003,88.755653,5414200
2010-02-26,111.110001,111.470001,110.470001,111.050003,88.755653,3505200
2010-03-01,111.599998,112.370003,111.559998,112.220001,89.690773,2226000
2010-03-02,112.750000,113.099998,112.360001,112.510002,89.922562,4928900
2010-03-03,112.879997,113.330002,112.400002,112.680000,90.058456,3489800
2010-03-04,112.800003,113.180000,112.389999,112.989998,90.306198,2456000
2010-03-05,113.790001,114.720001,113.480003,114.620003,91.608971,2942800
2010-03-08,114.660004,114.900002,114.470001,114.660004,91.640915,2321100
2010-03-09,114.300003,115.360001,114.239998,114.790001,91.744873,2836000
2010-03-10,114.889999,115.650002,114.800003,115.300003,92.152451,3815500
2010-03-11,115.110001,115.849998,114.730003,115.820000,92.568062,1844800
2010-03-12,116.320000,116.370003,115.550003,115.809998,92.560028,2583800
2010-03-15,115.650002,115.959999,114.980003,115.879997,92.615990,2549000
2010-03-16,116.180000,116.900002,115.889999,116.820000,93.367294,3865000
2010-03-17,117.129997,117.870003,117.099998,117.480003,93.894783,2563300
2010-03-18,117.480003,117.660004,116.980003,117.430000,93.854820,6748500
2010-03-19,116.820000,117.839996,116.389999,116.820000,93.367294,3864400
2010-03-22,116.190002,117.680000,116.120003,117.449997,93.870811,3479800
2010-03-23,117.650002,118.389999,117.250000,118.300003,94.550194,2610700
2010-03-24,117.860001,118.220001,117.480003,117.720001,94.086609,7696500
